county,IndexYear,Location,Population,Total,Rate,VTotal,VRate,Murder,Rape,Robbery,Assault,PTotal,PRate,Arson,Burglary,Theft,MVTheft,,,,
STEVENS,2010,Kettle Falls Police Department,"1,655",62,37.5,1,0.6,0,0,0,1,61,36.9,0,12,46,3,,,,
STEVENS,2011,Kettle Falls Police Department,"1,605",59,36.8,2,1.2,0,1,0,1,57,35.5,0,3,53,1,,,,
STEVENS,1994,Northport Police Department,342,23,67.3,3,8.8,0,0,0,3,20,58.5,2,10,6,2,,,,
STEVENS,1995,Northport Police Department,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
STEVENS,1996,Northport Police Department,378,7,18.5,1,2.6,0,0,1,0,6,15.9,1,0,2,3,,,,
STEVENS,1997,Northport Police Department,387,25,64.6,3,7.8,0,0,0,3,22,56.8,0,2,20,0,,,,
STEVENS,1998,Northport Police Department,348,28,80.5,9,25.9,0,0,0,9,19,54.6,0,8,11,0,,,,
STEVENS,1999,Northport Police Department,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
STEVENS,2001,Northport Police Department,312,16,51.3,0,0,0,0,0,0,16,51.3,0,5,9,2,,,,
STEVENS,2002,Northport Police Department,273,9,33,2,7.3,0,0,0,2,7,25.6,0,2,5,0,,,,
STEVENS,2003,Northport Police Department,270,3,11.1,0,0,0,0,0,0,3,11.1,0,1,2,0,,,,
STEVENS,2003,Springdale Police Department,280,33,117.9,5,17.9,0,0,0,5,28,100,0,17,9,2,,,,
STEVENS,1994,Stevens County Sheriffs Office,"25,782",629,24.4,31,1.2,2,5,2,22,598,23.2,6,192,372,28,,,,
STEVENS,1995,Stevens County Sheriffs Office,"26,403",692,26.2,34,1.3,2,5,3,24,658,24.9,2,218,405,33,,,,
STEVENS,1996,Stevens County Sheriffs Office,"27,479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
STEVENS,1997,Stevens County Sheriffs Office,"28,128",829,29.5,37,1.3,2,6,7,22,792,28.2,2,253,514,23,,,,
STEVENS,1998,Stevens County Sheriffs Office,"28,327",809,28.6,57,2,1,6,6,44,752,26.5,0,215,502,35,,,,
STEVENS,1999,Stevens County Sheriffs Office,"28,708",657,22.9,22,0.8,1,4,1,16,635,22.1,1,216,402,16,,,,
