COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,PRSNTOTAL,PRSNRATE,MURDER,MANSLAUGHTER,FORCIBLE_SEX,ASSAULT,NON_FORCIBLE_SEX,KIDNAPPING_ABDUCTION,HUMAN_TRAFFICKING,VIOL_OF_NO_CONTACT,PRPRTYTOTAL,PRPRTYRATE,ARSON,BRIBERY,BURGLARY,COUNTERFEITING_FORGERY,DESTRUCTION_OF_PROPERTY,EXTORTION_BLACKMAIL,ROBBERY,THEFT,SCTYTOTAL,SCTYRATE,DRUG_VIOLATIONS,GAMBLING_VIOLATIONS,PORNOGRAPHY,PROSTITUTION,WEAPON_LAW_VIOLATION,ANIMAL_CRUELTY
KING,2018,Beaux Arts Police Department,300,2,6.67,0,0.00,0,0,0,0,0,0,0,0,2,6.67,0,0,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
KING,2019,Beaux Arts Police Department,300,3,10.00,1,3.33,0,0,0,1,0,0,0,0,2,6.67,0,0,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
KING,2020,Beaux Arts Police Department,300,8,26.67,0,0.00,0,0,0,0,0,0,0,0,8,26.67,0,0,1,0,0,0,0,7,0,0.00,0,0,0,0,0,0
KING,2015,Bellevue Police Department,"135,000","6,353",47.06,864,6.40,2,0,28,679,5,4,0,146,"5,343",39.58,22,0,789,67,584,7,61,"3,813",146,1.08,106,0,4,10,26,0
KING,2016,Bellevue Police Department,"139,400","6,625",47.53,817,5.86,0,0,20,642,3,7,0,145,"5,630",40.39,13,0,876,83,570,11,59,"4,018",178,1.28,148,0,1,3,26,0
KING,2017,Bellevue Police Department,"140,700","6,419",45.62,904,6.43,0,0,33,707,2,3,0,159,"5,157",36.65,20,0,602,91,558,4,54,"3,828",358,2.54,226,0,0,112,20,0
KING,2018,Bellevue Police Department,"142,400","6,612",46.43,"1,004",7.05,0,0,33,805,6,6,0,154,"5,325",37.39,16,0,531,56,534,10,83,"4,095",283,1.99,252,0,7,3,21,0
KING,2019,Bellevue Police Department,"145,300","6,928",47.68,970,6.68,1,0,33,746,1,5,0,184,"5,470",37.65,3,1,433,68,463,11,76,"4,415",488,3.36,387,0,10,16,75,0
KING,2020,Bellevue Police Department,"148,100","8,915",60.20,"1,027",6.93,4,1,23,839,1,9,0,150,"7,302",49.30,13,0,618,74,577,15,69,"5,936",586,3.96,414,0,17,30,123,2
KING,2012,Black Diamond Police Department,"4,170",209,50.12,32,7.67,0,0,1,27,0,0,0,4,118,28.30,0,0,16,0,27,0,1,74,59,14.15,58,0,0,0,1,0
KING,2013,Black Diamond Police Department,"4,170",138,33.09,16,3.84,0,0,0,13,0,0,0,3,103,24.70,0,0,11,0,23,0,0,69,19,4.56,17,0,0,0,2,0
KING,2014,Black Diamond Police Department,"4,180",94,22.49,15,3.59,0,0,1,13,1,0,0,0,73,17.46,0,0,15,0,12,0,0,46,6,1.44,6,0,0,0,0,0
KING,2015,Black Diamond Police Department,"4,200",116,27.62,20,4.76,0,0,4,11,0,0,0,5,89,21.19,0,0,11,1,13,0,0,64,7,1.67,6,0,0,0,1,0
KING,2016,Black Diamond Police Department,"4,305",116,26.95,16,3.72,0,0,2,9,0,0,0,5,88,20.44,0,0,18,1,8,0,0,61,12,2.79,10,0,0,0,2,0
KING,2017,Black Diamond Police Department,"4,335",77,17.76,19,4.38,0,0,5,6,0,0,0,8,48,11.07,0,0,10,1,10,0,0,27,10,2.31,9,0,0,0,1,0
KING,2018,Black Diamond Police Department,"4,360",34,7.80,11,2.52,0,0,1,7,0,0,0,3,21,4.82,0,0,3,0,5,0,0,13,2,0.46,2,0,0,0,0,0
KING,2019,Black Diamond Police Department,"4,525",93,20.55,34,7.51,0,0,1,22,0,0,0,11,57,12.60,0,0,6,0,16,0,0,35,2,0.44,1,0,0,0,1,0
KING,2020,Black Diamond Police Department,"5,205",154,29.59,32,6.15,0,0,0,24,1,0,0,7,108,20.75,0,0,11,0,25,0,0,72,14,2.69,10,0,0,0,4,0
KING,2012,Bothell Police Department,"34,000","1,755",51.62,300,8.82,1,0,8,236,3,1,0,51,"1,229",36.15,8,0,142,10,247,1,8,813,226,6.65,208,0,0,1,17,0
KING,2013,Bothell Police Department,"34,460","1,561",45.30,199,5.77,1,0,0,162,0,2,0,34,"1,128",32.73,3,0,173,12,182,0,4,754,234,6.79,222,0,0,2,10,0
KING,2014,Bothell Police Department,"41,642","2,038",48.94,296,7.11,0,0,7,222,0,2,0,65,"1,486",35.69,5,0,159,18,218,1,6,"1,079",256,6.15,232,0,0,0,24,0
KING,2015,Bothell Police Department,"42,640","2,163",50.73,312,7.32,0,0,10,221,2,2,0,77,"1,543",36.19,1,0,197,30,243,0,11,"1,061",308,7.22,294,0,2,1,11,0
KING,2016,Bothell Police Department,"43,980","2,326",52.89,295,6.71,0,0,21,214,0,1,0,59,"1,701",38.68,7,0,228,43,232,0,15,"1,176",330,7.50,304,0,0,0,26,0
KING,2017,Bothell Police Department,"44,370","2,468",55.62,299,6.74,0,0,18,210,2,1,0,68,"1,790",40.34,5,0,210,32,251,1,18,"1,273",379,8.54,352,0,2,0,23,2
KING,2018,Bothell Police Department,"45,260","2,306",50.95,346,7.64,1,0,21,245,0,4,0,75,"1,515",33.47,6,0,165,31,212,3,20,"1,078",445,9.83,411,0,3,1,28,2
KING,2019,Bothell Police Department,"46,750","2,404",51.42,303,6.48,0,0,19,215,0,7,0,62,"1,498",32.04,5,0,109,30,213,2,9,"1,130",603,12.90,574,0,9,1,19,0
KING,2020,Bothell Police Department,"48,400","3,339",68.99,281,5.81,1,0,12,206,1,1,0,60,"1,809",37.38,5,0,168,36,234,5,13,"1,348","1,249",25.81,"1,186",0,14,3,44,2
KING,2018,Burien Police Department,"51,850","1,247",24.05,247,4.76,1,1,14,163,0,10,0,58,926,17.86,7,0,124,11,17,1,24,742,74,1.43,54,0,0,1,19,0
KING,2019,Burien Police Department,"52,000","3,160",60.77,675,12.98,3,0,45,485,0,20,0,122,"2,339",44.98,12,0,346,27,271,2,60,"1,621",146,2.81,92,0,3,0,51,0
KING,2020,Burien Police Department,"52,300","4,302",82.26,734,14.03,5,0,37,560,1,2,0,129,"3,394",64.89,16,0,465,26,523,4,65,"2,295",174,3.33,121,0,3,2,44,4
KING,2012,COUNTY TOTAL,"1,072,824","93,104",86.80,"16,151",15.10,34,1,652,"13,567",44,130,0,"1,723","72,061",67.20,134,0,"9,623","1,037","12,105",31,"1,829","47,302","4,892",4.60,"3,778",2,26,286,800,0
KING,2013,COUNTY TOTAL,"1,232,997","108,742",88.20,"17,484",14.20,34,2,675,"14,514",50,134,3,"2,072","86,528",70.20,155,0,"11,212","1,210","14,064",23,"2,101","57,763","4,730",3.80,"3,511",0,54,266,899,0
KING,2014,COUNTY TOTAL,"1,388,780","131,988",95.00,"20,803",15.00,44,2,838,"16,991",62,195,6,"2,665","105,971",76.30,185,0,"12,289","1,344","15,225",35,"2,251","74,642","5,214",3.80,"3,682",1,45,521,965,0
KING,2015,COUNTY TOTAL,"1,555,296","136,352",87.70,"22,666",14.60,45,0,902,"18,380",60,172,21,"3,086","107,549",69.20,219,1,"13,708","1,433","16,910",69,"2,251","72,958","6,137",3.90,"4,248",2,45,480,"1,362",0
KING,2016,COUNTY TOTAL,"1,600,355","141,674",88.50,"22,788",14.20,49,0,"1,105","18,357",69,168,14,"3,026","112,429",70.30,234,3,"13,547","1,423","17,873",93,"2,420","76,836","6,457",4.00,"4,494",0,57,512,"1,394",0
KING,2017,COUNTY TOTAL,"1,643,462","139,436",84.80,"23,805",14.50,51,0,"1,146","19,270",84,198,14,"3,042","108,041",65.70,264,2,"13,023","1,410","17,238",122,"2,379","73,603","7,590",4.60,"5,181",5,66,645,"1,668",25
KING,2018,COUNTY TOTAL,"2,216,832","149,055",67.20,"27,951",12.60,56,3,"1,389","22,605",74,248,27,"3,549","112,904",50.90,286,2,"13,810","1,515","16,617",195,"2,808","77,671","8,200",3.70,"5,957",3,126,248,"1,826",40
KING,2019,COUNTY TOTAL,"2,253,316","147,200",65.30,"28,784",12.80,64,2,"1,468","23,098",51,366,43,"3,692","110,054",48.80,295,5,"13,179","1,441","15,480",183,"2,577","76,894","8,362",3.70,"6,042",1,169,396,"1,710",44
KING,2020,COUNTY TOTAL,"2,287,885","175,801",76.80,"28,328",12.40,119,9,"1,232","22,617",66,294,42,"3,949","139,619",61.00,478,3,"17,669","1,197","20,220",219,"2,638","97,195","7,854",3.40,"5,481",1,214,247,"1,844",67
KING,2013,Carnation Police Department,"1,785",77,43.14,12,6.72,0,0,0,8,0,0,0,4,54,30.25,2,0,15,1,4,0,0,32,11,6.16,11,0,0,0,0,0
KING,2018,Carnation Police Department,"2,155",13,6.03,6,2.78,0,0,1,3,0,0,0,2,7,3.25,0,0,0,0,1,0,0,6,0,0.00,0,0,0,0,0,0
KING,2019,Carnation Police Department,"2,220",28,12.61,12,5.41,0,0,1,9,0,0,0,2,14,6.31,0,0,2,1,2,0,0,9,2,0.90,1,0,1,0,0,0
KING,2020,Carnation Police Department,"2,265",72,31.79,5,2.21,0,0,0,5,0,0,0,0,67,29.58,0,0,9,0,5,0,0,53,0,0.00,0,0,0,0,0,0
KING,2012,Clyde Hill Police Department,"2,980",54,18.12,6,2.01,0,0,0,6,0,0,0,0,42,14.09,1,0,8,0,7,0,0,26,6,2.01,5,0,0,0,1,0
KING,2013,Clyde Hill Police Department,"2,980",49,16.44,10,3.36,0,0,0,10,0,0,0,0,35,11.74,0,0,10,0,3,0,1,21,4,1.34,4,0,0,0,0,0
KING,2014,Clyde Hill Police Department,"2,995",65,21.70,6,2.00,0,0,1,4,0,0,0,1,55,18.36,0,0,11,0,4,0,0,40,4,1.34,3,0,0,0,1,0
KING,2015,Clyde Hill Police Department,"3,020",75,24.83,8,2.65,0,0,1,6,0,0,0,1,67,22.19,0,0,8,1,12,0,0,46,0,0.00,0,0,0,0,0,0
KING,2016,Clyde Hill Police Department,"3,060",93,30.39,8,2.61,0,0,0,8,0,0,0,0,84,27.45,0,0,20,1,16,1,0,46,1,0.33,1,0,0,0,0,0
KING,2017,Clyde Hill Police Department,"3,015",44,14.59,5,1.66,0,0,0,5,0,0,0,0,39,12.94,0,0,5,1,11,1,0,21,0,0.00,0,0,0,0,0,0
KING,2018,Clyde Hill Police Department,"3,045",19,6.24,1,0.33,0,0,0,1,0,0,0,0,16,5.25,0,0,2,0,2,0,0,12,2,0.66,2,0,0,0,0,0
KING,2019,Clyde Hill Police Department,"3,055",91,29.79,5,1.64,0,0,0,3,0,0,0,2,86,28.15,1,0,7,1,7,0,0,70,0,0.00,0,0,0,0,0,0
KING,2020,Clyde Hill Police Department,"3,055",111,36.33,12,3.93,0,0,0,10,0,1,0,1,96,31.42,0,0,17,2,28,0,0,49,3,0.98,2,0,0,0,1,0
KING,2018,Covington Police Department,"20,080",345,17.18,62,3.09,1,0,4,47,0,2,0,8,259,12.90,0,0,33,7,0,1,5,213,24,1.20,24,0,0,0,0,0
KING,2019,Covington Police Department,"20,280","1,048",51.68,228,11.24,0,1,10,151,1,11,0,54,774,38.17,0,0,92,25,59,1,11,586,46,2.27,35,0,3,0,8,0
KING,2020,Covington Police Department,"20,530","1,173",57.14,181,8.82,0,0,2,133,0,1,0,45,966,47.05,2,0,95,15,124,0,13,717,26,1.27,15,0,5,0,6,0
KING,2013,Des Moines Police Department,"29,730","1,968",66.20,328,11.03,0,0,8,243,2,3,0,72,"1,578",53.08,9,0,206,27,159,0,53,"1,124",62,2.09,46,0,3,0,13,0
KING,2014,Des Moines Police Department,"30,030","2,126",70.80,393,13.09,1,0,17,282,0,3,0,90,"1,652",55.01,7,0,235,27,197,0,59,"1,127",81,2.70,48,0,1,9,23,0
KING,2015,Des Moines Police Department,"30,100","1,825",60.63,376,12.49,1,0,24,274,0,3,0,74,"1,397",46.41,1,0,167,9,197,1,53,969,52,1.73,37,0,0,0,15,0
KING,2016,Des Moines Police Department,"30,570","2,236",73.14,408,13.35,3,0,33,268,0,5,0,99,"1,764",57.70,11,0,161,31,226,0,42,"1,293",64,2.09,38,0,3,0,23,0
KING,2017,Des Moines Police Department,"30,860","2,057",66.66,364,11.80,1,0,14,265,0,6,0,78,"1,602",51.91,8,0,175,23,197,1,58,"1,140",91,2.95,56,0,2,0,33,0
KING,2018,Des Moines Police Department,"31,140","1,963",63.04,440,14.13,2,0,16,330,1,3,0,88,"1,475",47.37,9,0,197,22,169,2,55,"1,021",48,1.54,25,0,1,0,22,0
KING,2019,Des Moines Police Department,"31,580","1,972",62.44,420,13.30,1,0,22,293,2,0,0,102,"1,469",46.52,6,0,142,29,210,0,32,"1,050",83,2.63,48,0,2,6,27,0
KING,2020,Des Moines Police Department,"32,260","2,435",75.48,434,13.45,2,0,16,318,1,4,0,93,"1,915",59.36,7,0,128,16,326,3,56,"1,379",86,2.67,55,0,6,0,24,1
KING,2013,Duvall Police Department,"7,120",122,17.13,24,3.37,0,0,0,18,0,1,0,5,79,11.10,0,0,15,1,6,0,0,57,19,2.67,19,0,0,0,0,0
KING,2014,Duvall Police Department,"7,325",122,16.66,18,2.46,0,0,0,14,0,0,0,4,92,12.56,0,0,10,0,6,0,0,76,12,1.64,11,0,0,0,1,0
KING,2015,Duvall Police Department,"7,345",90,12.25,15,2.04,0,0,1,13,0,0,0,1,73,9.94,1,0,8,3,11,0,0,50,2,0.27,2,0,0,0,0,0
KING,2016,Duvall Police Department,"7,425",92,12.39,16,2.15,0,0,0,11,0,0,0,5,71,9.56,0,0,9,11,4,0,0,47,5,0.67,5,0,0,0,0,0
KING,2017,Duvall Police Department,"7,500",64,8.53,19,2.53,0,0,2,14,0,0,0,3,42,5.60,0,0,4,0,7,0,0,31,3,0.40,3,0,0,0,0,0
KING,2018,Duvall Police Department,"7,655",110,14.37,18,2.35,1,0,0,7,0,0,0,10,89,11.63,1,0,7,2,8,0,2,69,3,0.39,3,0,0,0,0,0
KING,2019,Duvall Police Department,"7,840",104,13.27,25,3.19,0,0,4,19,0,0,0,2,73,9.31,0,0,0,1,14,0,0,58,6,0.77,5,0,1,0,0,0
KING,2020,Duvall Police Department,"7,950",212,26.67,15,1.89,0,0,3,10,0,0,0,2,192,24.15,3,0,4,5,6,0,0,174,5,0.63,4,0,0,0,1,0
KING,2013,Enumclaw Police Department,"11,100",677,60.99,107,9.64,0,0,6,84,0,2,0,15,542,48.83,3,0,35,6,141,0,2,355,28,2.52,23,0,0,0,5,0
KING,2014,Enumclaw Police Department,"11,110",683,61.48,126,11.34,0,0,7,98,0,1,0,20,533,47.97,0,0,63,10,124,0,2,334,24,2.16,23,0,0,0,1,0
KING,2015,Enumclaw Police Department,"11,140",642,57.63,122,10.95,0,0,6,93,0,0,0,23,473,42.46,0,0,51,6,109,0,1,306,47,4.22,36,0,0,0,11,0
KING,2016,Enumclaw Police Department,"11,410",574,50.31,110,9.64,0,0,4,79,0,0,0,27,422,36.99,1,0,39,9,97,0,4,272,42,3.68,37,0,0,0,5,0
KING,2017,Enumclaw Police Department,"11,450",549,47.95,112,9.78,0,0,6,81,1,1,0,23,387,33.80,0,1,19,6,118,0,1,242,50,4.37,41,0,1,0,8,0
KING,2018,Enumclaw Police Department,"11,660",526,45.11,97,8.32,0,0,9,62,1,0,0,25,370,31.73,0,0,38,11,81,0,3,237,59,5.06,49,0,1,0,9,0
KING,2019,Enumclaw Police Department,"12,200",536,43.93,95,7.79,0,0,3,73,1,1,0,17,392,32.13,3,0,29,5,128,0,0,227,49,4.02,42,0,2,0,5,0
KING,2020,Enumclaw Police Department,"12,610",597,47.34,120,9.52,0,0,12,75,0,2,0,31,441,34.97,1,0,30,2,87,1,1,319,36,2.85,26,0,2,0,8,0
KING,2012,Federal Way Police Department,"89,460","9,417",105.26,"1,375",15.37,3,0,138,952,7,25,0,250,"7,464",83.43,9,0,932,133,"1,465",4,107,"4,814",578,6.46,483,0,3,12,80,0
KING,2013,Federal Way Police Department,"89,720","9,453",105.36,"1,386",15.45,6,0,129,968,8,23,3,249,"7,613",84.85,7,0,804,161,"1,576",5,108,"4,952",454,5.06,366,0,5,7,76,0
KING,2014,Federal Way Police Department,"90,150","9,465",104.99,"1,397",15.50,4,0,156,970,5,29,2,231,"7,550",83.75,13,0,838,156,961,2,135,"5,445",518,5.75,413,0,5,21,79,0
KING,2015,Federal Way Police Department,"90,760","9,071",99.94,"1,514",16.68,4,0,130,"1,075",11,34,0,260,"6,990",77.02,14,0,662,186,935,6,152,"5,035",567,6.25,435,0,7,38,87,0
KING,2016,Federal Way Police Department,"93,670","10,156",108.42,"1,491",15.92,9,0,136,"1,042",10,14,1,279,"8,145",86.95,18,0,681,179,"1,070",2,193,"6,002",520,5.55,422,0,4,0,94,0
KING,2017,Federal Way Police Department,"96,350","9,110",94.55,"1,507",15.64,7,0,123,"1,070",12,31,1,263,"7,124",73.94,10,0,686,130,827,4,170,"5,297",479,4.97,370,0,4,14,91,0
KING,2018,Federal Way Police Department,"97,440","8,291",85.09,"1,505",15.45,0,1,107,"1,112",6,17,0,262,"6,314",64.80,14,0,684,114,829,7,230,"4,436",472,4.84,327,0,14,1,121,9
KING,2019,Federal Way Police Department,"97,840","7,664",78.33,"1,456",14.88,4,1,67,"1,055",4,29,1,295,"5,884",60.14,13,0,565,142,759,3,156,"4,246",324,3.31,181,0,8,4,120,11
KING,2020,Federal Way Police Department,"98,340","7,995",81.30,"1,354",13.77,6,0,51,942,4,19,1,331,"6,365",64.72,34,0,745,107,"1,034",7,132,"4,306",276,2.81,138,0,8,0,125,5
KING,2012,Issaquah Police Department,"31,150","1,440",46.23,173,5.55,0,0,9,137,0,1,0,26,"1,134",36.40,4,0,90,15,282,0,6,737,133,4.27,125,0,0,0,8,0
KING,2013,Issaquah Police Department,"32,130","1,465",45.60,185,5.76,0,0,8,142,0,1,0,34,"1,169",36.38,1,0,70,27,208,1,7,855,111,3.45,101,0,1,1,8,0
KING,2014,Issaquah Police Department,"32,880","1,927",58.61,145,4.41,0,0,6,105,0,5,0,29,"1,612",49.03,2,0,70,17,334,2,8,"1,179",170,5.17,163,0,0,1,6,0
KING,2015,Issaquah Police Department,"33,330","1,861",55.84,146,4.38,0,0,3,111,1,0,0,31,"1,616",48.48,1,0,111,19,328,0,8,"1,149",99,2.97,91,0,0,1,7,0
KING,2016,Issaquah Police Department,"34,590","2,081",60.16,194,5.61,0,0,17,132,0,0,0,45,"1,782",51.52,2,0,163,28,443,0,12,"1,134",105,3.04,97,0,1,0,7,0
KING,2017,Issaquah Police Department,"36,030","2,081",57.76,170,4.72,1,0,8,124,0,2,0,35,"1,810",50.24,3,0,114,27,463,0,8,"1,195",101,2.80,86,0,0,0,14,1
KING,2018,Issaquah Police Department,"37,110","2,504",67.48,228,6.14,0,0,19,168,0,1,0,40,"2,098",56.53,2,0,138,19,495,0,7,"1,437",178,4.80,169,0,1,0,8,0
KING,2019,Issaquah Police Department,"37,590","2,073",55.15,200,5.32,0,0,15,151,1,2,0,31,"1,690",44.96,2,2,79,9,404,0,2,"1,192",183,4.87,171,0,1,0,11,0
KING,2020,Issaquah Police Department,"38,690","2,496",64.51,235,6.07,1,0,11,156,0,7,0,60,"2,184",56.45,2,1,135,5,440,0,6,"1,595",77,1.99,64,0,1,0,12,0
KING,2018,Kenmore Police Department,"22,920",198,8.64,46,2.01,0,0,0,39,0,0,0,7,152,6.63,1,0,22,4,1,1,3,120,0,0.00,0,0,0,0,0,0
KING,2019,Kenmore Police Department,"23,320",459,19.68,108,4.63,0,0,8,80,0,2,0,18,342,14.67,0,0,42,5,39,0,6,250,9,0.39,5,0,1,0,3,0
KING,2020,Kenmore Police Department,"23,450",771,32.88,87,3.71,0,0,6,68,0,0,0,13,672,28.66,6,0,45,3,84,1,1,532,12,0.51,11,0,0,0,1,0
KING,2014,Kent Police Department,"121,400","12,316",101.45,"2,386",19.65,3,0,117,"1,755",16,31,4,460,"9,288",76.51,19,0,"1,045",151,"1,650",8,160,"6,255",642,5.29,436,0,12,113,81,0
KING,2015,Kent Police Department,"122,900","12,509",101.78,"2,688",21.87,5,0,138,"1,956",13,34,11,531,"9,175",74.65,19,0,918,138,"1,766",3,144,"6,187",646,5.26,423,0,11,66,146,0
KING,2016,Kent Police Department,"124,500","14,554",116.90,"2,490",20.00,6,0,124,"1,861",14,22,12,451,"11,428",91.79,16,0,"1,078",126,"2,404",3,167,"7,634",636,5.11,425,0,16,46,149,0
KING,2017,Kent Police Department,"127,100","14,063",110.65,"2,614",20.57,7,0,121,"2,003",20,27,5,431,"10,757",84.63,17,0,965,150,"2,340",10,203,"7,072",692,5.44,380,0,21,122,167,2
KING,2018,Kent Police Department,"128,900","12,898",100.06,"2,682",20.81,5,0,141,"2,008",17,24,8,479,"9,551",74.10,14,0,865,140,"2,110",9,200,"6,213",665,5.16,434,0,18,61,151,1
KING,2019,Kent Police Department,"129,800","11,807",90.96,"2,674",20.60,3,0,164,"1,995",12,24,8,468,"8,595",66.22,14,1,769,126,"1,824",7,246,"5,608",538,4.14,332,0,21,90,95,0
KING,2020,Kent Police Department,"130,500","12,897",98.83,"2,614",20.03,9,0,153,"1,873",26,38,19,496,"9,777",74.92,15,0,"1,106",98,"2,180",12,187,"6,179",506,3.88,229,0,34,110,133,0
KING,2018,King County Sheriffs Office,"247,240","3,253",13.16,832,3.37,2,0,59,602,0,25,0,144,"2,208",8.93,21,0,411,32,20,4,54,"1,666",213,0.86,133,0,12,11,57,0
KING,2019,King County Sheriffs Office,"248,275","8,217",33.10,"2,229",8.98,5,0,122,"1,701",1,59,4,337,"5,498",22.14,81,0,823,56,509,9,184,"3,836",490,1.97,307,0,31,23,126,3
KING,2020,King County Sheriffs Office,"249,100","10,036",40.29,"1,933",7.76,8,2,78,"1,444",2,8,0,391,"7,726",31.02,79,0,736,47,"1,056",10,153,"5,645",377,1.51,187,0,46,23,116,5
KING,2012,Kirkland Police Department,"81,480","4,003",49.13,667,8.19,0,0,25,527,1,5,0,109,"3,064",37.60,8,0,330,54,705,1,24,"1,942",272,3.34,235,0,3,1,33,0
KING,2013,Kirkland Police Department,"81,730","4,001",48.95,563,6.89,0,0,21,438,1,4,0,99,"3,266",39.96,6,0,328,58,678,0,20,"2,176",172,2.10,126,0,6,17,23,0
KING,2014,Kirkland Police Department,"82,590","4,045",48.98,603,7.30,1,0,34,443,3,9,0,113,"3,277",39.68,8,0,273,56,526,2,15,"2,397",165,2.00,127,0,6,9,23,0
KING,2015,Kirkland Police Department,"83,460","3,700",44.33,590,7.07,0,0,25,445,0,4,0,116,"2,947",35.31,11,0,280,65,640,3,16,"1,932",163,1.95,133,0,2,3,25,0
KING,2016,Kirkland Police Department,"84,680","4,095",48.36,564,6.66,1,0,30,403,2,5,0,123,"3,329",39.31,4,0,295,86,703,0,21,"2,220",202,2.39,175,0,5,2,20,0
KING,2017,Kirkland Police Department,"86,080","4,136",48.05,526,6.11,1,0,26,397,2,2,0,98,"3,421",39.74,6,0,233,82,687,3,16,"2,394",189,2.20,169,0,2,1,17,0
KING,2018,Kirkland Police Department,"87,240","3,984",45.67,673,7.71,0,0,31,512,5,7,0,118,"3,151",36.12,12,0,293,77,610,7,17,"2,135",160,1.83,136,0,5,5,14,0
KING,2019,Kirkland Police Department,"88,940","3,831",43.07,577,6.49,1,0,33,436,3,3,0,101,"3,109",34.96,8,0,171,54,521,13,22,"2,320",145,1.63,121,0,4,2,18,0
KING,2020,Kirkland Police Department,"90,660","4,918",54.25,599,6.61,1,0,28,455,1,4,0,110,"4,178",46.08,8,0,225,55,666,12,20,"3,192",141,1.56,109,0,0,0,29,3
KING,2012,Lake Forest Park Police Department,"12,640",551,43.59,56,4.43,0,0,4,44,0,1,0,7,471,37.26,0,0,93,4,146,0,2,226,24,1.90,22,0,0,0,2,0
KING,2013,Lake Forest Park Police Department,"12,680",460,36.28,59,4.65,0,1,4,48,0,1,0,5,390,30.76,1,0,78,4,116,0,2,189,11,0.87,11,0,0,0,0,0
KING,2014,Lake Forest Park Police Department,"12,750",571,44.78,60,4.71,0,0,1,47,0,0,0,12,489,38.35,0,0,99,5,112,0,3,270,22,1.73,19,0,0,0,3,0
KING,2015,Lake Forest Park Police Department,"12,810",558,43.56,62,4.84,0,0,4,51,0,0,0,7,463,36.14,0,0,71,9,130,0,3,250,33,2.58,28,0,0,0,5,0
KING,2016,Lake Forest Park Police Department,"12,940",563,43.51,59,4.56,0,0,6,42,0,1,0,10,437,33.77,0,0,50,3,148,0,4,232,67,5.18,58,0,2,0,7,0
KING,2017,Lake Forest Park Police Department,"12,990",548,42.19,72,5.54,0,0,2,56,0,0,0,14,419,32.26,1,0,50,7,120,0,4,237,57,4.39,53,0,0,0,4,0
KING,2018,Lake Forest Park Police Department,"13,090",512,39.11,61,4.66,0,0,7,47,0,0,0,7,397,30.33,3,0,37,3,75,2,6,271,54,4.13,51,0,0,0,3,0
KING,2019,Lake Forest Park Police Department,"13,250",431,32.53,65,4.91,0,0,2,46,1,0,0,16,321,24.23,0,0,37,1,69,0,2,212,45,3.40,44,0,0,0,1,0
KING,2020,Lake Forest Park Police Department,"13,280",590,44.43,36,2.71,0,0,2,27,0,0,0,7,503,37.88,1,0,40,1,79,0,3,379,51,3.84,46,0,2,0,3,0
KING,2018,Maple Valley Police Department,"25,280",246,9.73,45,1.78,0,0,1,27,0,3,0,14,191,7.56,0,0,35,3,6,0,2,145,10,0.40,8,0,0,0,2,0
KING,2019,Maple Valley Police Department,"26,180",575,21.96,119,4.55,1,0,6,68,0,8,0,36,425,16.23,4,0,79,7,39,1,4,291,31,1.18,25,0,3,0,3,0
KING,2020,Maple Valley Police Department,"26,630",958,35.97,81,3.04,1,0,13,51,0,1,0,15,857,32.18,5,0,85,5,94,2,2,664,20,0.75,17,0,1,0,2,0
KING,2012,Medina Police Department,"3,380",83,24.56,3,0.89,0,0,0,2,0,0,0,1,76,22.49,0,0,12,1,17,0,0,46,4,1.18,4,0,0,0,0,0
KING,2013,Medina Police Department,"3,395",120,35.35,12,3.53,0,0,0,9,0,0,0,3,103,30.34,0,0,7,0,21,0,0,75,5,1.47,5,0,0,0,0,0
KING,2014,Medina Police Department,"3,460",95,27.46,7,2.02,0,0,0,4,0,0,0,3,84,24.28,0,0,8,1,4,0,0,71,4,1.16,4,0,0,0,0,0
KING,2015,Medina Police Department,"3,505",110,31.38,7,2.00,0,0,0,6,0,0,0,1,96,27.39,0,0,8,0,12,0,0,76,7,2.00,5,0,0,0,2,0
KING,2016,Medina Police Department,"3,580",124,34.64,10,2.79,0,0,0,8,0,0,0,2,112,31.28,0,0,12,0,19,0,0,81,2,0.56,2,0,0,0,0,0
KING,2017,Medina Police Department,"3,620",110,30.39,8,2.21,0,0,0,3,0,0,0,5,100,27.62,0,0,7,0,13,0,0,80,2,0.55,1,0,0,0,1,0
KING,2018,Medina Police Department,"3,665",93,25.38,13,3.55,0,0,0,9,0,0,0,4,79,21.56,1,0,6,0,14,0,0,58,1,0.27,1,0,0,0,0,0
KING,2019,Medina Police Department,"3,665",122,33.29,4,1.09,0,0,1,2,0,0,0,1,118,32.20,0,0,14,0,19,1,0,84,0,0.00,0,0,0,0,0,0
KING,2020,Medina Police Department,"3,720",135,36.29,3,0.81,0,0,0,2,0,0,0,1,131,35.22,0,0,15,1,28,0,1,86,1,0.27,1,0,0,0,0,0
KING,2013,Mercer Island Police Department,"22,720",702,30.90,48,2.11,0,0,2,35,0,0,0,11,645,28.39,1,0,68,17,109,0,1,449,9,0.40,9,0,0,0,0,0
KING,2014,Mercer Island Police Department,"23,310",743,31.87,25,1.07,0,0,1,20,1,0,0,3,707,30.33,1,0,68,30,164,0,1,443,11,0.47,10,0,1,0,0,0
